"Stock","Year","Length","CatchNo"
"KOB-SE",2009,540,45.0699115239
"KOB-SE",2009,550,47.363183196
"KOB-SE",2009,560,48.2626766975
"KOB-SE",2009,570,30.2027373838
"KOB-SE",2009,580,34.8560105287
"KOB-SE",2009,590,28.5963702021
"KOB-SE",2009,600,27.4387224804
"KOB-SE",2009,610,18.1784593248
"KOB-SE",2009,620,17.6616971738
"KOB-SE",2009,630,15.728492327
"KOB-SE",2009,640,15.9122951641
"KOB-SE",2009,650,10.1320045958
"KOB-SE",2009,660,10.169771935
"KOB-SE",2009,670,10.9442320208
"KOB-SE",2009,680,12.0981335081
"KOB-SE",2009,690,12.8483943414
"KOB-SE",2009,700,10.4945382183
"KOB-SE",2009,710,7.5642733165
"KOB-SE",2009,720,7.1018055338
"KOB-SE",2009,730,7.2499167137
"KOB-SE",2009,740,4.233414467
"KOB-SE",2009,750,5.8498429731
"KOB-SE",2009,760,2.8179317894
"KOB-SE",2009,770,3.4227214525
"KOB-SE",2009,780,4.5799742877
"KOB-SE",2009,790,3.214480358
"KOB-SE",2009,800,5.5642192691
"KOB-SE",2009,810,3.657365491
"KOB-SE",2009,820,1.8872773827
"KOB-SE",2009,830,0.4654884912
"KOB-SE",2009,840,1.5838232433
"KOB-SE",2009,850,0.7611266669
"KOB-SE",2009,860,1.2224901479
"KOB-SE",2009,870,0.9801570243
"KOB-SE",2009,880,0.3773755975
"KOB-SE",2009,890,1.2434262305
"KOB-SE",2009,900,0.9830981061
"KOB-SE",2009,910,0.5186798165
"KOB-SE",2009,920,0.3818114733
"KOB-SE",2009,930,0.2956198542
"KOB-SE",2009,940,0.25
"KOB-SE",2009,950,0.1856953382
"KOB-SE",2009,960,0
"KOB-SE",2009,970,0.9708446827
"KOB-SE",2009,980,0.2182178902
"KOB-SE",2009,990,0.5294494685
"KOB-SE",2009,1000,0.4318183955
"KOB-SE",2009,1010,0
"KOB-SE",2009,1020,0.316227766
"KOB-SE",2009,1030,0.5939436286
"KOB-SE",2009,1040,0
"KOB-SE",2009,1050,0
"KOB-SE",2009,1060,0
"KOB-SE",2009,1070,0
"KOB-SE",2009,1080,0
"KOB-SE",2009,1090,0
"KOB-SE",2009,1100,0.2357022604
"KOB-SE",2009,1110,0
"KOB-SE",2009,1120,0.2357022604
"KOB-SE",2009,1130,0
"KOB-SE",2009,1140,0.1856953382
"KOB-SE",2009,1150,0
"KOB-SE",2009,1160,0
"KOB-SE",2009,1170,0
"KOB-SE",2009,1180,0
"KOB-SE",2009,1190,0
"KOB-SE",2009,1200,0
"KOB-SE",2009,1210,0
"KOB-SE",2009,1220,0
"KOB-SE",2010,410,0
"KOB-SE",2010,420,0.0953462589
"KOB-SE",2010,430,0.2860387768
"KOB-SE",2010,440,0.3813850357
"KOB-SE",2010,450,1.0953462589
"KOB-SE",2010,460,0.3813850357
"KOB-SE",2010,470,0.8276731408
"KOB-SE",2010,480,2.4025555274
"KOB-SE",2010,490,5.3336437391
"KOB-SE",2010,500,46.1523530951
"KOB-SE",2010,510,43.5605355149
"KOB-SE",2010,520,44.7709061666
"KOB-SE",2010,530,36.5558146438
"KOB-SE",2010,540,32.2358137265
"KOB-SE",2010,550,33.8731927284
"KOB-SE",2010,560,29.8763902524
"KOB-SE",2010,570,19.238727915
"KOB-SE",2010,580,24.5182517167
"KOB-SE",2010,590,21.8348096311
"KOB-SE",2010,600,19.0388970232
"KOB-SE",2010,610,15.547431406
"KOB-SE",2010,620,13.159934512
"KOB-SE",2010,630,12.4968457236
"KOB-SE",2010,640,11.307042965
"KOB-SE",2010,650,7.0513401858
"KOB-SE",2010,660,9.700293913
"KOB-SE",2010,670,8.279678604
"KOB-SE",2010,680,9.3456697661
"KOB-SE",2010,690,7.6086747823
"KOB-SE",2010,700,10.4650240534
"KOB-SE",2010,710,12.3553385485
"KOB-SE",2010,720,12.0750508712
"KOB-SE",2010,730,8.858947774
"KOB-SE",2010,740,8.0269364504
"KOB-SE",2010,750,6.4685243734
"KOB-SE",2010,760,7.1691129521
"KOB-SE",2010,770,4.5722751047
"KOB-SE",2010,780,5.7972864806
"KOB-SE",2010,790,8.2965967787
"KOB-SE",2010,800,9.4778532789
"KOB-SE",2010,810,6.0232128291
"KOB-SE",2010,820,3.2598061761
"KOB-SE",2010,830,6.0296544451
"KOB-SE",2010,840,4.7503478919
"KOB-SE",2010,850,2.6556531934
"KOB-SE",2010,860,3.3991356989
"KOB-SE",2010,870,4.1089349369
"KOB-SE",2010,880,2.4395790741
"KOB-SE",2010,890,4.0911526476
"KOB-SE",2010,900,3.4479869068
"KOB-SE",2010,910,3.0600641968
"KOB-SE",2010,920,1.8086298602
"KOB-SE",2010,930,1.2434714599
"KOB-SE",2010,940,1.2406128047
"KOB-SE",2010,950,0.6018335453
"KOB-SE",2010,960,2.0106157248
"KOB-SE",2010,970,0.8750293845
"KOB-SE",2010,980,1.079399316
"KOB-SE",2010,990,1.7133212046
"KOB-SE",2010,1000,0.5740806081
